Word,Phonetic,Meanings,Examples
key,kiː,"noun - a low-lying island or reef, especially in the Caribbean. ","null;"

key,kiː,"noun - a small piece of shaped metal with incisions cut to fit the wards of a particular lock, which is inserted into a lock and turned to open or close it. each of several buttons on a panel for operating a computer, typewriter, or telephone. a thing that provides a means of achieving or understanding something. a group of notes based on a particular note and comprising a scale, regarded as forming the tonal basis of a piece of music. the dry winged fruit of an ash, maple, or sycamore, typically growing in bunches; a samara. the part of a first coat of wall plaster that passes between the laths and so secures the rest. the keyhole-shaped area marked on the court near each basket. verb - enter or operate on (data) by means of a computer keyboard or telephone keypad. fasten (something) in position with a pin, wedge, or bolt. roughen (a surface) to help the adhesion of plaster or other material. word (an advertisement in a periodical), typically by varying the form of the address given, so as to identify the publication generating particular responses. vandalize (a car) by scraping its paint with a key. be the crucial factor in achieving. ","there were two keys to the cupboard;press the ENTER key;discipline seems to be the key to her success;the key of E minor;null;null;he hit another jumper from the top of the key;not everyone can key data quickly and accurately;the coils may be keyed into the slots by fibre wedges;a wooden float with nails driven through it is used to key the wall surface between coats;one keys advertisements and measures returns;null;Ewing keyed a 73–35 advantage on the boards with twenty rebounds;"
key,kiː,"noun - a low-lying island or reef, especially in the Caribbean. ","null;"

kick,kɪk,"verb - strike or propel forcibly with the foot. succeed in giving up (a habit or addiction). (of a gun) recoil when fired. ","I think someone just kicked down my door;smokers may soon have new help to kick the habit;their guns kick so hard that they have developed a bad case of flinching;"

kick,kɪk,"verb - strike or propel forcibly with the foot. succeed in giving up (a habit or addiction). (of a gun) recoil when fired. noun - a blow or forceful thrust with the foot. a sudden forceful jolt. the sharp stimulant effect of alcohol or a drug. soft sports shoes; trainers. ","I think someone just kicked down my door;smokers may soon have new help to kick the habit;their guns kick so hard that they have developed a bad case of flinching;a kick in the head;the shuttle accelerated with a kick;strong stuff, this brew: he felt the kick;a pair of basketball kicks;"
kick,kɪk,"noun - an indentation in the bottom of a glass bottle, diminishing the internal capacity. ","null;"

kill,kɪl,"verb - cause the death of (a person, animal, or other living thing). put an end to or cause the failure or defeat of (something). overwhelm (someone) with an emotion. pass (time, or a specified amount of it), typically while waiting for a particular event. noun - an act of killing, especially of one animal by another. ","her father was killed in a car crash;two fast goals from Dublin killed any hopes of a famous Sligo victory;the suspense is killing me;when he reached the station he found he actually had an hour to kill;a lion has made a kill;"
kill,kɪl,"noun - (in place names, especially in New York, New Jersey, and Pennsylvania) a stream, creek, or tributary. ","Kill Van Kull;"

kill,kɪl,"verb - cause the death of (a person, animal, or other living thing). put an end to or cause the failure or defeat of (something). overwhelm (someone) with an emotion. pass (time, or a specified amount of it), typically while waiting for a particular event. ","her father was killed in a car crash;two fast goals from Dublin killed any hopes of a famous Sligo victory;the suspense is killing me;when he reached the station he found he actually had an hour to kill;"

killing,ˈkɪlɪŋ,"noun - an act of causing death, especially deliberately. adjective - causing death. exhausting or unbearable. ","the community was shocked by the brutal killings;a killing disease;a killing schedule;"
kill,kɪl,"verb - cause the death of (a person, animal, or other living thing). put an end to or cause the failure or defeat of (something). overwhelm (someone) with an emotion. pass (time, or a specified amount of it), typically while waiting for a particular event. ","her father was killed in a car crash;two fast goals from Dublin killed any hopes of a famous Sligo victory;the suspense is killing me;when he reached the station he found he actually had an hour to kill;"

kind,kʌɪnd,"noun - a group of people or things having similar characteristics. each of the elements (bread and wine) of the Eucharist. ","all kinds of music;communion in both kinds;"
kind,kʌɪnd,"adjective - having or showing a friendly, generous, and considerate nature. ","she was a good, kind woman;"

kindle,ˈkɪnd(ə)l,"verb - set (something) on fire. ","null;"
kindle,ˈkɪnd(ə)l,"verb - (of a hare or rabbit) give birth. ","a day or two before she kindles, the mother will pull out some of her fur to make a soft lining;"

kindliness,ˈkʌɪndlɪnəs,"noun - the quality of being kind, warm-hearted, or gentle; kindness. ","null;"

kindly,ˈkʌɪndli,"adverb - in a kind manner. adjective - kind, warm-hearted, or gentle. ","�?Never mind,’ she said kindly;he was a quiet, kindly man;"

kindness,ˈkʌɪn(d)nəs,"noun - the quality of being friendly, generous, and considerate. ","he thanked them for their kindness and support;"

king,kɪŋ,"noun - the male ruler of an independent state, especially one who inherits the position by right of birth. the most important chess piece, of which each player has one, which the opponent has to checkmate in order to win. The king can move in any direction, including diagonally, to any adjacent square that is not attacked by an opponent's piece or pawn. verb - make (someone) king. act in an unpleasantly superior and domineering way. ","King Henry VIII;null;null;he'll start kinging it over the lot of us again;"
God Save the Queen,ɡɒdseɪvðəˈkwiːn,"noun - the British national anthem. ","null;"

kingdom,ˈkɪŋdəm,"noun - a country, state, or territory ruled by a king or queen. the spiritual reign or authority of God. each of the three traditional divisions (animal, vegetable, and mineral) in which natural objects have conventionally been classified. ","the Kingdom of the Netherlands;null;null;"

God Save the Queen,ɡɒdseɪvðəˈkwiːn,"noun - the British national anthem. ","null;"
king,kɪŋ,"noun - the male ruler of an independent state, especially one who inherits the position by right of birth. the most important chess piece, of which each player has one, which the opponent has to checkmate in order to win. The king can move in any direction, including diagonally, to any adjacent square that is not attacked by an opponent's piece or pawn. verb - make (someone) king. act in an unpleasantly superior and domineering way. ","King Henry VIII;null;null;he'll start kinging it over the lot of us again;"

kiss,kɪs,"verb - touch or caress with the lips as a sign of love, sexual desire, or greeting. (of a ball) lightly touch (another ball) in passing. ","he kissed her on the lips;null;"

kitchen,ˈkɪtʃɪn,"noun - a room or area where food is prepared and cooked. the percussion section of an orchestra. (of a language) in an uneducated or domestic form. ","null;null;kitchen Swahili;"

knee,niː,"noun - the joint between the thigh and the lower leg in humans. an angled piece of wood or metal frame used to connect and support the beams and timbers of a wooden ship. an abrupt obtuse or approximately right-angled bend in a graph between parts where the slope varies smoothly. verb - hit (someone) with one's knee. ","null;null;null;she kneed him in the groin;"

kneel,niːl,"verb - be in or assume a position in which the body is supported by a knee or the knees, as when praying or showing submission. ","they knelt down and prayed;"

knee,niː,"noun - the joint between the thigh and the lower leg in humans. an angled piece of wood or metal frame used to connect and support the beams and timbers of a wooden ship. an abrupt obtuse or approximately right-angled bend in a graph between parts where the slope varies smoothly. verb - hit (someone) with one's knee. ","null;null;null;she kneed him in the groin;"

kneel,niːl,"verb - be in or assume a position in which the body is supported by a knee or the knees, as when praying or showing submission. ","they knelt down and prayed;"

know,nəʊ,"verb - be aware of through observation, inquiry, or information. have developed a relationship with (someone) through meeting and spending time with them; be familiar or friendly with. have sexual intercourse with (someone). ","most people know that CFCs can damage the ozone layer;he knew and respected Laura;null;"

knife,nʌɪf,"noun - an instrument composed of a blade fixed into a handle, used for cutting or as a weapon. verb - stab (someone) with a knife. ","null;he was knifed to death during the argument;"
hunting knife,null,"noun - a large knife, typically having a sharp blade with one partially serrated edge, used to skin and cut up animals killed for food. ","he was equipped with nothing but a dog and a hunting knife;"

knit,nɪt,"verb - make (a garment, blanket, etc.) by interlocking loops of wool or other yarn with knitting needles or on a machine. unite or cause to unite. tighten (one's eyebrows) in a frown of concentration, disapproval, or anxiety. ","she was knitting a sweater;disparate regions had begun to knit together under the king;Marcus knitted his brows;"

knock,nɒk,"verb - strike a surface noisily to attract attention, especially when waiting to be let in through a door. collide with (someone or something), giving them a hard blow. talk disparagingly about; criticize. approach (a specified age). noun - a sudden short sound caused by a blow, especially on a door to attract attention or gain entry. a blow or collision. an innings, especially of an individual batsman. ","he strolled over and knocked on a door marked Enquiries;he deliberately ran against her, knocking her shoulder;null;he's younger than his brother—knocking seventy;null;the casing is tough enough to withstand knocks;a splendid knock of 117 against Somerset;"

newcomer,ˈnjuːkʌmə,"noun - a person who has recently arrived in a place. ","she's a newcomer to the area;"

newcomer,ˈnjuːkʌmə,"noun - a person who has recently arrived in a place. ","she's a newcomer to the area;"

new,njuː,"adjective - produced, introduced, or discovered recently or now for the first time; not existing before. already existing but seen, experienced, or acquired recently or now for the first time. beginning anew and in a transformed way. ","the new Madonna album;her new bike;starting a new life;"

newly,ˈnjuːli,"adverb - only just; recently. again; afresh. ","a newly acquired hi-fi system;social confidence for the newly single;"

news,njuːz,"noun - newly received or noteworthy information, especially about recent events. ","I've got some good news for you;"

newsletter,ˈnjuːzlɛtə,"noun - a bulletin issued periodically to the members of a society or other organization. ","null;"

newspaper,ˈnjuːzpeɪpə,"noun - a printed publication (usually issued daily or weekly) consisting of folded unstapled sheets and containing news, articles, advertisements, and correspondence. ","all the newspapers carried the story;"

newspaper,ˈnjuːzpeɪpə,"noun - a printed publication (usually issued daily or weekly) consisting of folded unstapled sheets and containing news, articles, advertisements, and correspondence. ","all the newspapers carried the story;"

next,nɛkst,"adjective - (of a time) coming immediately after the time of writing or speaking. coming immediately after the present one in order, rank, or space. adverb - on the first or soonest occasion after the present; immediately afterwards. following in the specified order. noun - the next person or thing. preposition - next to. determiner - another. ","we'll go to Corfu next year;the woman in the next room;he wondered what would happen next;Jo was the next oldest after Martin;the week after next;he plodded along next him;every year sales down by a next ten per cent again;"

nice,nʌɪs,"adjective - giving pleasure or satisfaction; pleasant or attractive. (especially of a difference) slight or subtle. fastidious; scrupulous. ","we had a very nice time;there is a nice distinction between self-sacrifice and martyrdom;null;"
NICE,nʌɪs,"abbreviation - (in England and Wales) National Institute for Health and Care Excellence. ","null;"

nicely,ˈnʌɪsli,"adverb - in a pleasant or attractive manner. ","nicely dressed in flowered cotton;"

nickel,ˈnɪk(ə)l,"noun - a silvery-white metal, the chemical element of atomic number 28. a five-cent coin; five cents. verb - coat with nickel. ","null;a button the size of a nickel;it's far easier to copper an article than to nickel it;"

niece,niːs,"noun - a daughter of one's brother or sister, or of one's brother-in-law or sister-in-law. ","null;"

night,nʌɪt,"noun - the period from sunset to sunrise in each twenty-four hours. the period between afternoon and bedtime; an evening. exclamation - short for goodnight. adverb - during the night; at night. ","a moonless night;he was not allowed to go out on weekday nights;null;investments that won't keep us awake nights with worry;"

night,nʌɪt,"noun - the period from sunset to sunrise in each twenty-four hours. the period between afternoon and bedtime; an evening. adverb - during the night; at night. ","a moonless night;he was not allowed to go out on weekday nights;investments that won't keep us awake nights with worry;"

nine,nʌɪn,"number - equivalent to the product of three and three; one more than eight, or one less than ten; 9. ","nine European countries;"

nip,nɪp,"verb - bite or pinch sharply. go quickly. steal or snatch (something). noun - a sharp bite or pinch. ","one of the dogs nipped him on the leg;I'm just nipping down to the Post Office;null;a strong beak which can deliver a serious nip;"
nip,nɪp,"noun - a small quantity or sip of spirits. verb - take a sip or sips of spirits. ","a nip of brandy;the men nipped from the bottle;"
Nip,nɪp,"noun - a Japanese person. ","null;"

nitrate,null,"noun - a salt or ester of nitric acid, containing the anion NO3− or the group —NO3. verb - treat (a substance) with nitric acid, especially so as to introduce nitro groups. ","preserved meat and vegetables contain nitrates;nitrated polycyclic aromatic hydrocarbons;"

no,nəʊ,"determiner - not any. exclamation - used to give a negative response. adverb - not at all; to no extent. not. noun - a negative answer or decision, especially in voting. ","there is no excuse;�?Is anything wrong?’ �?No.’;they were no more able to perform the task than I was;I'll no be a minute;he was unable to change his automatic yes to a no;"
No.,null,"abbreviation - North. number. ","null;No. 27;"
No,null,"symbol - the chemical element nobelium. ","null;"
No,nəʊ,"noun - variant spelling of Noh. ","null;"
nobelium,nə(ʊ)ˈbiːlɪəm,"noun - the chemical element of atomic number 102, a radioactive metal of the actinide series. Nobelium does not occur naturally and was first produced by bombarding curium with carbon nuclei. ","null;"
Noh,nəʊ,"noun - traditional Japanese masked drama with dance and song, evolved from Shinto rites. ","a Noh play;"

noble,ˈnəʊb(ə)l,"adjective - belonging by rank, title, or birth to the aristocracy. having or showing fine personal qualities or high moral principles. noun - (especially in former times) a person of noble rank or birth. a former English gold coin first issued in 1351. ","the medieval palace was once owned by a noble Florentine family;the promotion of human rights was a noble aspiration;the greater a noble's military power, the more land he could control;null;"

nobleman,ˈnəʊb(ə)lmən,"noun - a man who belongs by rank, title, or birth to the aristocracy; a peer. ","null;"

noble,ˈnəʊb(ə)l,"adjective - belonging by rank, title, or birth to the aristocracy. having or showing fine personal qualities or high moral principles. ","the medieval palace was once owned by a noble Florentine family;the promotion of human rights was a noble aspiration;"

nobody,ˈnəʊbədi,"pronoun - no person; no one. noun - a person of no importance or authority. ","nobody was at home;they went from nobodies to superstars;"

nocturnal,nɒkˈtəːn(ə)l,"adjective - done, occurring, or active at night. ","most owls are nocturnal;"

nod,nɒd,"verb - lower and raise one's head slightly and briefly, especially in greeting, assent, or understanding, or to give someone a signal. let one's head fall forward when drowsy or asleep. head (the ball) without great force. noun - an act of nodding the head. ","he looked around for support and everyone nodded;Anna nodded over her book;Henry nodded the ball over the line;at a nod from his father he left the room;"

nod,nɒd,"verb - lower and raise one's head slightly and briefly, especially in greeting, assent, or understanding, or to give someone a signal. let one's head fall forward when drowsy or asleep. head (the ball) without great force. ","he looked around for support and everyone nodded;Anna nodded over her book;Henry nodded the ball over the line;"

nod,nɒd,"verb - lower and raise one's head slightly and briefly, especially in greeting, assent, or understanding, or to give someone a signal. let one's head fall forward when drowsy or asleep. head (the ball) without great force. ","he looked around for support and everyone nodded;Anna nodded over her book;Henry nodded the ball over the line;"

noise,nɔɪz,"noun - a sound, especially one that is loud or unpleasant or that causes disturbance. irregular fluctuations that accompany a transmitted electrical signal but are not part of it and tend to obscure it. verb - talk about or make known publicly. make a lot of noise. ","making a noise like a pig;the enhancer can improve the video signal quality, reducing noise and increasing image sharpness;you've discovered something that should not be noised about;rook, crow and jackdaw—noising loud;"

noise,nɔɪz,"verb - talk about or make known publicly. make a lot of noise. ","you've discovered something that should not be noised about;rook, crow and jackdaw—noising loud;"

noiseless,ˈnɔɪzləs,"adjective - silent or very quiet. accompanied by or introducing no random fluctuations that obscure the real signal or data. ","the cycle is a noiseless form of transport;the 4000-1 and 4000-2 use an adaptive, noiseless data algorithm to compress data in real time;"

nominal,ˈnɒmɪn(ə)l,"adjective - (of a role or status) existing in name only. (of a price or charge) very small; far below the real value or cost. (of a quantity or dimension) stated or expressed but not necessarily corresponding exactly to the real value. relating to or functioning as a noun. (chiefly in the context of space travel) functioning normally or acceptably. ","Thailand retained nominal independence under Japanese military occupation;they charge a nominal fee for the service;EU legislation allowed variation around the nominal weight (that printed on each packet);a nominal group;null;"

nominally,ˈnɒmɪn(ə)li,"adverb - in name only; officially though perhaps not in reality. ","it's nominally a documentary, but not necessarily a wholly truthful one;"

nonconformist,ˌnɒnkənˈfɔːmɪst,"noun - a member of a Protestant Church which dissents from the established Church of England. a person who does not conform to prevailing ideas or practices in their behaviour or views. adjective - relating to Nonconformists or their principles and practices. characterized by behaviour or views that do not conform to prevailing ideas or practices. ","originally a Nonconformist, he was later converted to Anglo-Catholicism;Jenkins was a nonconformist who disdained the rugby union coaching certificate;teetotalism was a largely Nonconformist movement;he was eccentric and nonconformist, as artists tend to be;"

none,nʌn,"pronoun - not any. adverb - by no amount; not at all. ","none of you want to work;it is made none the easier by the differences in approach;"
none,nəʊn,"noun - a service forming part of the Divine Office of the Western Christian Church, traditionally said (or chanted) at the ninth hour of the day (3 p.m.). ","null;"

noose,nuːs,"noun - a loop with a running knot, tightening as the rope or wire is pulled and used to trap animals or hang people. verb - put a noose on (someone). ","he began to choke as the noose tightened about his throat;she was noosed and hooded, then strangled by the executioner;"

nor,nɔː,"conjunction - used before the second or further of two or more alternatives (the first being introduced by a negative such as �?neither’ or �?not’) to indicate that they are each untrue or each do not happen. used to introduce a further negative statement. than. adverb - literary term for neither. noun - a Boolean operator which gives the value one if and only if all operands have a value of zero and otherwise has a value of zero. ","they were neither cheap nor convenient;�?I don't see how.’ �?Nor do I.’;she thinks she knows better nor me;nor God nor demon can undo the done;null;"
nor',nɔː,"abbreviation - (especially in compounds) north. ","seek shelter from a raging nor'easter;"
nor-,null,"prefix - denoting an organic compound derived from another, in particular by the shortening of a chain or ring by the removal of one methylene group or by the replacement of one or more methyl side chains by hydrogen atoms. ","noradrenaline;"

normal,ˈnɔːm(ə)l,"adjective - conforming to a standard; usual, typical, or expected. (of a line, ray, or other linear feature) intersecting a given line or surface at right angles. (of a salt solution) containing the same salt concentration as the blood. denoting a fault or faulting in which a relative downward movement occurred in the strata situated on the upper side of the fault plane. noun - the usual, typical, or expected state or condition. a line at right angles to a given line or surface. ","it's quite normal for puppies to bolt their food;a single plane of symmetry with a diad axis normal to it;dilute the stock solution with sterile water or normal saline;null;her temperature was above normal;the view is along the normal to the surface;"

north,nɔːθ,"noun - the direction in which a compass needle normally points, towards the horizon on the left-hand side of a person facing east, or the part of the horizon lying in this direction. the northern part of the world or of a specified country, region, or town. the player occupying a designated position at the table, sitting opposite and partnering South. adjective - lying towards, near, or facing the north. of or denoting the northern part of a specified country, region, or town. adverb - to or towards the north. above (a particular amount, cost, etc.). ","a bitter wind blew from the north;there will be heavy wintry showers, particularly in the north;North deals and opens one club;the north bank of the river;North Wales;the town is twenty-five miles north of Newport;they expect to spend north of $6 million for this latest campaign;"

nose,nəʊz,"noun - the part projecting above the mouth on the face of a person or animal, containing the nostrils and used for breathing and smelling. the front end of an aircraft, car, or other vehicle. an act of looking around or prying. verb - (of an animal) thrust its nose against or into something. look around or pry into something. (of a vehicle) move cautiously forward. ","he slowly breathed out the air through his nose;the plane's nose dipped as it started descending towards the runway;she wanted a good nose round the house;the pony nosed at the straw;I was anxious to get inside and nose around her house;he turned left and nosed into an empty parking space;"

nostril,ˈnɒstr(ə)l,"noun - either of two external openings of the nasal cavity in vertebrates that admit air to the lungs and smells to the olfactory nerves. ","null;"

not,nɒt,"adverb - used with an auxiliary verb or �?be’ to form the negative. used as a short substitute for a negative clause. used to express the negative of other words. used in understatements to suggest that the opposite of a following word or phrase is true. noun - a Boolean operator with only one variable that has the value one when the variable is zero and vice versa. adjective - (of paper) not hot-pressed, and having a slightly textured surface. ","he would not say;maybe I'll regret it, but I hope not;not a single attempt was made;the not too distant future;null;null;"

notable,ˈnəʊtəb(ə)l,"adjective - worthy of attention or notice; remarkable. noun - a famous or important person. ","the gardens are notable for their collection of magnolias and camellias;businessmen and local notables;"

notably,ˈnəʊtəbli,"adverb - in particular; especially. ","a diet low in animal fat protects against potentially fatal diseases, notably diabetes;"

note,nəʊt,"noun - a brief record of points or ideas written down as an aid to memory. a short informal letter or written message. a banknote. a single tone of definite pitch made by a musical instrument or the human voice. a particular quality or tone that reflects or expresses a mood or attitude. verb - notice or pay particular attention to (something). record (something) in writing. ","I'll make a note in my diary;I left her a note explaining where I was going;a ten-pound note;the last notes of the symphony died away;there was a note of scorn in her voice;he noted his mother's unusual gaiety;he noted down her address on a piece of paper;"

noted,ˈnəʊtɪd,"adjective - well known; famous. ","the restaurant is noted for its high standards of cuisine;"
note,nəʊt,"verb - notice or pay particular attention to (something). record (something) in writing. ","he noted his mother's unusual gaiety;he noted down her address on a piece of paper;"

note,nəʊt,"noun - a brief record of points or ideas written down as an aid to memory. a short informal letter or written message. a banknote. a single tone of definite pitch made by a musical instrument or the human voice. a particular quality or tone that reflects or expresses a mood or attitude. verb - notice or pay particular attention to (something). record (something) in writing. ","I'll make a note in my diary;I left her a note explaining where I was going;a ten-pound note;the last notes of the symphony died away;there was a note of scorn in her voice;he noted his mother's unusual gaiety;he noted down her address on a piece of paper;"

nothing,ˈnʌθɪŋ,"pronoun - not anything; no single thing. adjective - having no prospect of progress; of no value. adverb - not at all. ","I said nothing;he had a series of nothing jobs;a man who cared nothing for her;"

notice,ˈnəʊtɪs,"noun - the fact of observing or paying attention to something. notification or warning of something, especially to allow preparations to be made. a displayed sheet or placard giving news or information. verb - become aware of. ","their silence did not escape my notice;interest rates are subject to fluctuation without notice;the jobs were advertised in a notice posted in the common room;he noticed the youths behaving suspiciously;"

notice,ˈnəʊtɪs,"verb - become aware of. ","he noticed the youths behaving suspiciously;"

notice,ˈnəʊtɪs,"noun - notification or warning of something, especially to allow preparations to be made. a displayed sheet or placard giving news or information. verb - become aware of. ","interest rates are subject to fluctuation without notice;the jobs were advertised in a notice posted in the common room;he noticed the youths behaving suspiciously;"

note,nəʊt,"verb - notice or pay particular attention to (something). record (something) in writing. ","he noted his mother's unusual gaiety;he noted down her address on a piece of paper;"

notion,ˈnəʊʃ(ə)n,"noun - a conception of or belief about something. an impulse or desire, especially one of a whimsical kind. items used in sewing, such as buttons, pins, and hooks. ","children have different notions about the roles of their parents;she had a notion to ring her friend at work;null;"

notorious,nə(ʊ)ˈtɔːrɪəs,"adjective - famous or well known, typically for some bad quality or deed. ","Los Angeles is notorious for its smog;"

nova,ˈnəʊvə,"noun - a star showing a sudden large increase in brightness and then slowly returning to its original state over a few months. ","null;"

novel,ˈnɒv(ə)l,"noun - a fictitious prose narrative of book length, typically representing character and action with some degree of realism. ","the novels of Jane Austen;"
novel,ˈnɒv(ə)l,"adjective - interestingly new or unusual. ","he hit on a novel idea to solve his financial problems;"

November,nə(ʊ)ˈvɛmbə,"noun - the eleventh month of the year, in the northern hemisphere usually considered the last month of autumn. a code word representing the letter N, used in radio communication. ","the shop opened in November;null;"

now,naʊ,"adverb - at the present time or moment. used, especially in conversation, to draw attention to a particular statement or point in a narrative. used in a request, instruction, or question, typically to give a slight emphasis to one's words. used at the end of an ironic question echoing a previous statement. conjunction - as a consequence of the fact. adjective - fashionable or up to date. ","where are you living now?;now, my first impulse was to run away;we can hardly send her back, now can we?;�?Mum says you might let me have some of your stamps.’ �?Does she now?’;they spent a lot of time together now that he had retired;see more of what's now during our autumn catwalk show;"

nucleus,ˈnjuːklɪəs,"noun - the central and most important part of an object, movement, or group, forming the basis for its activity and growth. the positively charged central core of an atom, consisting of protons and neutrons and containing nearly all its mass. ","the nucleus of a British film-producing industry;null;"

number,ˈnʌmbə,"noun - an arithmetical value, expressed by a word, symbol, or figure, representing a particular quantity and used in counting and making calculations. a quantity or amount. a single issue of a magazine. a grammatical classification of words that consists typically of singular and plural, and, in Greek and certain other languages, dual. verb - amount to (a specified figure or quantity); comprise. mark with a number or assign a number to, typically to indicate position in a series. include or classify as a member of a group. ","think of a number from one to ten and multiply it by three;the company is seeking to increase the number of women on its staff;the October number of �?Travel’;the form of English pronouns reflects their number and gender;the demonstrators numbered more than 5,000;each document was numbered consecutively;the orchestra numbers Brahms among its past conductors;"

number,ˈnʌmbə,"noun - an arithmetical value, expressed by a word, symbol, or figure, representing a particular quantity and used in counting and making calculations. a quantity or amount. a single issue of a magazine. a grammatical classification of words that consists typically of singular and plural, and, in Greek and certain other languages, dual. verb - amount to (a specified figure or quantity); comprise. mark with a number or assign a number to, typically to indicate position in a series. include or classify as a member of a group. ","think of a number from one to ten and multiply it by three;the company is seeking to increase the number of women on its staff;the October number of �?Travel’;the form of English pronouns reflects their number and gender;the demonstrators numbered more than 5,000;each document was numbered consecutively;the orchestra numbers Brahms among its past conductors;"

numerous,ˈnjuːm(ə)rəs,"adjective - great in number; many. ","she had complained to the council on numerous occasions;"

nursery,ˈnəːs(ə)ri,"noun - a room in a house for the special use of young children. a place where young plants and trees are grown for sale or for planting elsewhere. ","a toy-strewn nursery;the plants are available from specialist nurseries;"

nut,nʌt,"noun - a fruit consisting of a hard or tough shell around an edible kernel. a small flat piece of metal or other material, typically square or hexagonal, with a threaded hole through it for screwing on to a bolt as a fastener. a crazy or eccentric person. a person's head. a man's testicles. the fixed ridge on the neck of a stringed instrument over which the strings pass. verb - butt (someone) with one's head. gather nuts. ","he was cracking nuts with his teeth;fix the new pipe and tighten the nuts;she would have written me off as a time-wasting nut;he's aiming to break a record by balancing a car on his nut;null;the positioning allows the strings a straight path over the nut;I thought he was going to nut me in the face;in autumn children would go nutting;"
NUT,null,"abbreviation - (in the UK) National Union of Teachers. ","null;"

o'clock,əˈklɒk,"adverb - used to specify the hour when telling the time. ","the gates will open at eight o'clock;"

oak,əʊk,"noun - a large tree which bears acorns and typically has lobed deciduous leaves. Oaks are dominant in many north temperate forests and are an important source of durable timber used in building, furniture, and (formerly) ships. an annual flat horse race for three-year-old fillies run on Epsom Downs, over the same course as the Derby. It was first run in 1779. ","null;null;"

oath,əʊθ,"noun - a solemn promise, often invoking a divine witness, regarding one's future action or behaviour. a profane or offensive expression used to express anger or other strong emotions. ","they took an oath of allegiance to the king;he exploded with a mouthful of oaths;"

obedience,əˈbiːdɪəns,"noun - compliance with an order, request, or law or submission to another's authority. ","children were taught to show their parents obedience;"

obey,ə(ʊ)ˈbeɪ,"verb - submit to the authority of (someone) or comply with (a law). ","I always obey my father;"

obey,ə(ʊ)ˈbeɪ,"verb - submit to the authority of (someone) or comply with (a law). ","I always obey my father;"

object,null,"noun - a material thing that can be seen and touched. a person or thing to which a specified action or feeling is directed. a noun or noun phrase governed by an active transitive verb or by a preposition. a data construct that provides a description of anything known to a computer (such as a processor or a piece of code) and defines its method of operation. verb - say something to express one's opposition to or disagreement with something. ","he was dragging a large object;disease became the object of investigation;in Gaelic the word order is verb, subject, object;the interface treats most items, including cells, graphs, and buttons, as objects;residents object to the volume of traffic;"

objection,əbˈdʒɛkʃ(ə)n,"noun - an expression or feeling of disapproval or opposition; a reason for disagreeing. ","they have raised no objections to the latest plans;"

objection,əbˈdʒɛkʃ(ə)n,"noun - an expression or feeling of disapproval or opposition; a reason for disagreeing. ","they have raised no objections to the latest plans;"

obligation,ɒblɪˈɡeɪʃ(ə)n,"noun - an act or course of action to which a person is morally or legally bound; a duty or commitment. ","I have an obligation to look after her;"

oblige,əˈblʌɪdʒ,"verb - make (someone) legally or morally bound to do something. ","doctors are obliged by law to keep patients alive while there is a chance of recovery;"

obliging,əˈblʌɪdʒɪŋ,"adjective - willing to do a service or kindness; helpful. ","one of the most obliging stewards;"
oblige,əˈblʌɪdʒ,"verb - make (someone) legally or morally bound to do something. ","doctors are obliged by law to keep patients alive while there is a chance of recovery;"

observant,əbˈzəːv(ə)nt,"adjective - quick to notice or perceive things. adhering strictly to the rules of a particular religion, especially Judaism. noun - a member of a branch of the Franciscan order that followed a strict rule. ","her observant eye took in every detail;an observant Jew;null;"

observation,ɒbzəˈveɪʃ(ə)n,"noun - the action or process of closely observing or monitoring something or someone. a statement based on something one has seen, heard, or noticed. ","she was brought into hospital for observation;he made a telling observation about Hughie;"

observe,əbˈzəːv,"verb - notice or perceive (something) and register it as being significant. make a remark. fulfil or comply with (a social, legal, ethical, or religious obligation). ","she observed that all the chairs were already occupied;�?It's chilly,’ she observed;a tribunal must observe the principles of natural justice;"

observe,əbˈzəːv,"verb - notice or perceive (something) and register it as being significant. make a remark. fulfil or comply with (a social, legal, ethical, or religious obligation). ","she observed that all the chairs were already occupied;�?It's chilly,’ she observed;a tribunal must observe the principles of natural justice;"

observer,əbˈzəːvə,"noun - a person who watches or notices something. ","to a casual observer, he was at peace;"

observe,əbˈzəːv,"verb - notice or perceive (something) and register it as being significant. make a remark. fulfil or comply with (a social, legal, ethical, or religious obligation). ","she observed that all the chairs were already occupied;�?It's chilly,’ she observed;a tribunal must observe the principles of natural justice;"

obstacle,ˈɒbstək(ə)l,"noun - a thing that blocks one's way or prevents or hinders progress. ","the major obstacle to achieving that goal is money;"

obstinate,ˈɒbstɪnət,"adjective - stubbornly refusing to change one's opinion or chosen course of action, despite attempts to persuade one to do so. ","her obstinate determination to pursue a career in radio;"

obtain,əbˈteɪn,"verb - get, acquire, or secure (something). be prevalent, customary, or established. ","adequate insurance cover is difficult to obtain;the price of silver fell to that obtaining elsewhere in the ancient world;"

obtain,əbˈteɪn,"verb - get, acquire, or secure (something). be prevalent, customary, or established. ","adequate insurance cover is difficult to obtain;the price of silver fell to that obtaining elsewhere in the ancient world;"

obtrude,əbˈtruːd,"verb - become noticeable in an unwelcome or intrusive way. ","a sound from the reception hall obtruded into his thoughts;"

